smiles
O=C(CCN(CCCN(CCCN(CCC(NCCSSCCCCCCCCCCCC)=O)CCC(NCCSSCCCCCCCCCCCC)=O)C)CCC(NCCSSCCCCCCCCCCCC)=O)NCCSSCCCCCCCCCCCC
OCCCCN(CCCCCCOC(C(CCCCCC)CCCCCCCC)=O)CCCCCCOC(C(CCCCCC)CCCCCCCC)=O
OCCCN(CCCCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCCCCC(OCCCCCCCCCCC)=O
OC(CCCCCCCCCC)CN(CCN(CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O)CCN1CCN(CCN(CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O)CC1
CN(CCCN(CCCCCCCCCC(O)C)CCCCCCCCCC(O)C)CCCN(CCCCCCCCCC(O)C)CCCCCCCCCC(O)C
CCCCCCCCCCC(O)CN(CCOCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CCN1CCN(CCOCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)CC1
CCCCCCCCCCCCC(O)CN(CC(O)CCCCCCCCCCCC)CCOCCN(CCN1CCN(CCOCCN(CC(O)CCCCCCCCCCCC)CC(O)CCCCCCCCCCCC)CC1)CC(O)CCCCCCCCCCCC
O=C(NCCN(CC(O)CCCCCCCCCCCC)CC(CCCCCCCCCCCC)O)CCN1CCN(CCC(NCCN(CC(CCCCCCCCCCCC)O)CC(CCCCCCCCCCCC)O)=O)CC1
OC(CCCCCCCCCCCCCC)CN(CC(CN(CC(CCCCCCCCCCCCCC)O)CC(CCCCCCCCCCCCCC)O)OCC)CCN1CCN(CC(CN(CC(CCCCCCCCCCCCCC)O)CC(CCCCCCCCCCCCCC)O)OCC)CC1
CCCCC/C=C\C/C=C\CCCCCCCC(CCCCCCCC/C=C\C/C=C\CCCCC)OC(=O)CCCN(C)C
CCCCC\C=C/C\C=C/CCCCCCCCC(CCCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCN(C)C
O=C(O[13CH]([13CH2]CCCCCCC/C=C\C/C=C\CCCCC)[13CH2]CCCCCCC/C=C\C/C=C\CCCCC)CCCN(C)C
CC(OCCCCCC)OCCCCCCN(CCCCCCOC(C)OCCCCCC)CCCCCCNC(CC[C@H]1CC[C@@](C2=CC(F)=CC=C2F)(S(C3=CC=C(Cl)C=C3)(=O)=O)CC1)=O
O=C(OCCSSCCCCCCCCCCCC)CCN(CCC(=O)OCCSSCCCCCCCCCCCC)CCC1=CNC=2C=CC=CC21
CCCCCCCCSSCCOC(CCN(CCC(OCCSSCCCCCCCC)=O)CCC1=CNC2=C1C=CC=C2)=O
O=C(OCCSSCCCCCCCCCCCCCC)CCN(CCC1=CNC2=C1C=CC=C2)CCC(OCCSSCCCCCCCCCCCCCC)=O
O=C(OCCSSCCCCCCCCCCCCCCCC)CCN(CCC(=O)OCCSSCCCCCCCCCCCCCCCC)CCC1=CNC2=C1C=CC=C2
C1=CC=C2C(=C1)C(CCN(CC(=O)OCCSSCCCCCCCCCCCCCCCC)CC(=O)OCCSSCCCCCCCCCCCCCCCC)=CN2
O=C(OCCSSCCCCCCCCCCCCCCCCCC)CCN(CCC(=O)OCCSSCCCCCCCCCCCCCCCCCC)CCc1c[nH]c2ccccc12
Clc1cccc(N2CCC(NC(=O)CCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)CC2)n1
CCCCCC(CC)OC(=O)CCCCCCCCN(CCCCCCCCC(=O)OC(CC)CCCCC)CCCCCC(=O)NC1CCN(C2=CC=CC(Cl)=N2)CC1
Clc1cccc(N2CCC(NC(=O)CCCCCN(CCCCCCOC(=O)OCCCCCC)CCCN(CCCCCCOC(=O)OCCCCCC)CCCCCCOC(=O)OCCCCCC)CC2)n1
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCO)CCCCCC(OCCCCCCCCCCC)=O
O=C1NC(CCCCN(CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O)C(NC1CCCCN(CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O)=O
C=CCCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC
C=CCCN(CCC(=O)OCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCC
C=CCCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC
C=CCCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC
C=CCCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC
CCCCCCCCCCCCCCOC(=O)CCN(C)CCCCCCN(C)CCC(=O)OCCCCCCCCCCCCCC
CCCCCCCCCCCCCCOC(=O)CCN(C)CCCN(CC)CCCN(C)CCC(=O)OCCCCCCCCCCCCCC
CCCCCCCCCCCCCCOC(=O)CCN(C)CCN(CCN(C)CCC(=O)OCCCCCCCCCCCCCC)CCN(C)CCC(=O)OCCCCCCCCCCCCCC
CCCCCCCCCCCCCCOC(=O)CCN(C)CCOCCN(C)CCC(=O)OCCCCCCCCCCCCCC
CCCCCCCCCCCCCCOC(=O)CCN(C)CCOCCOCCN(C)CCC(=O)OCCCCCCCCCCCCCC
CCCCCCCCCCCCCCOC(=O)CCN(C)c1ccc(Cc2ccc(N(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)cc2)cc1
CCCCCCCCCCCCCCOC(=O)CCN(C)c1ccccc1N(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC
CCCCCCCCCCCCCCOC(=O)CCN(CC)CCN(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(=O)C1CCCN1C
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)(C)C
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)(C)CC
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)(C)CC(C)(C)C
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)C
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)C(C)C
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)CC
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)CCC
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)CO
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(C)c1ccc(C)cc1
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(CC)CC
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(CO)(CO)CO
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(CO)C(C)(C)C
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(c1ccccc1)(c1ccccc1)c1ccccc1
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C(c1ccccc1)c1ccccc1
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C1CC1
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C1CC2CCC1C2
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C1CCC(CC2CCC(N(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)C(C)C2)CC1C
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C1CCC1
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C1CCCC(N(CCC(=O)OCCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCCC)C1
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C1CCCCC1
CCCCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCCCC)C1CCCCCCC1
