Formulation,Formulation_ID,Cationic_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Helper_lipid_ID,Cationic_Lipid_to_mRNA_weight_ratio,Form_comment
T0025_han2024_mouse_brain_to_liver_iv_SM_102_RVG29,T0025_han2024_mouse_brain_to_liver_iv_SM_102_RVG29,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0026_han2024_mouse_brain_to_liver_iv_SM_102_T7,T0026_han2024_mouse_brain_to_liver_iv_SM_102_T7,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0027_han2024_mouse_brain_to_liver_iv_SM_102_mApoE,T0027_han2024_mouse_brain_to_liver_iv_SM_102_mApoE,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0028_han2024_mouse_endothelial_iv_SM_102,T0028_han2024_mouse_endothelial_iv_SM_102,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0029_han2024_mouse_endothelial_iv_SM_102_AP2,T0029_han2024_mouse_endothelial_iv_SM_102_AP2,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0030_han2024_mouse_endothelial_iv_SM_102_RVG29,T0030_han2024_mouse_endothelial_iv_SM_102_RVG29,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0031_han2024_mouse_endothelial_iv_SM_102_T7,T0031_han2024_mouse_endothelial_iv_SM_102_T7,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0032_han2024_mouse_endothelial_iv_SM_102_mApoE,T0032_han2024_mouse_endothelial_iv_SM_102_mApoE,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0033_han2024_mouse_neuron_iv_SM_102,T0033_han2024_mouse_neuron_iv_SM_102,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0034_han2024_mouse_neuron_iv_SM_102_AP2,T0034_han2024_mouse_neuron_iv_SM_102_AP2,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0035_han2024_mouse_neuron_iv_SM_102_RVG29,T0035_han2024_mouse_neuron_iv_SM_102_RVG29,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0036_han2024_mouse_neuron_iv_SM_102_T7,T0036_han2024_mouse_neuron_iv_SM_102_T7,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0037_han2024_mouse_neuron_iv_SM_102_mApoE,T0037_han2024_mouse_neuron_iv_SM_102_mApoE,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0038_kuzminich2024_fig4_brain_MTDK1_iv_cKK_E12,T0038_kuzminich2024_fig4_brain_MTDK1_iv_cKK_E12,35.0,16.0,46.5,2.5,DDAB_cholesterol,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0039_kuzminich2024_fig4_brain_MTDK1_iv_cKK_E12,T0039_kuzminich2024_fig4_brain_MTDK1_iv_cKK_E12,35.0,16.0,46.5,2.5,DDAB_cholesterol,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0040_kuzminich2024_fig4_brain_MTDK1_iv_cKK_E12,T0040_kuzminich2024_fig4_brain_MTDK1_iv_cKK_E12,35.0,16.0,46.5,2.5,DDAB_cholesterol,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0041_kuzminich2024_fig4_brain_MTDK1_iv_cKK_E12,T0041_kuzminich2024_fig4_brain_MTDK1_iv_cKK_E12,35.0,16.0,46.5,2.5,DDAB_cholesterol,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0042_kuzminich2024_fig4_brain_MTDK1_iv_cKK_E12,T0042_kuzminich2024_fig4_brain_MTDK1_iv_cKK_E12,35.0,16.0,46.5,2.5,DDAB_cholesterol,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0043_kuzminich2024_fig5_brain_cat_vs_mod_SM_102,T0043_kuzminich2024_fig5_brain_cat_vs_mod_SM_102,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0044_kuzminich2024_fig5_brain_cat_vs_mod_SM_102,T0044_kuzminich2024_fig5_brain_cat_vs_mod_SM_102,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0045_kuzminich2024_fig5_brain_cat_vs_mod_SM_102,T0045_kuzminich2024_fig5_brain_cat_vs_mod_SM_102,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0046_kuzminich2024_fig5_brain_cat_vs_mod_SM_102,T0046_kuzminich2024_fig5_brain_cat_vs_mod_SM_102,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0047_kuzminich2024_fig5_brain_cat_vs_mod_SM_102,T0047_kuzminich2024_fig5_brain_cat_vs_mod_SM_102,35.0,16.0,46.5,2.5,DSPC,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0048_kuzminich2024_fig5_brain_cat_vs_mod_cKK_E12,T0048_kuzminich2024_fig5_brain_cat_vs_mod_cKK_E12,35.0,16.0,46.5,2.5,DDAB_cholesterol,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0049_kuzminich2024_fig5_brain_cat_vs_mod_cKK_E12,T0049_kuzminich2024_fig5_brain_cat_vs_mod_cKK_E12,35.0,16.0,46.5,2.5,DDAB_cholesterol,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0050_kuzminich2024_fig5_brain_cat_vs_mod_cKK_E12,T0050_kuzminich2024_fig5_brain_cat_vs_mod_cKK_E12,35.0,16.0,46.5,2.5,DDAB_cholesterol,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
T0051_kuzminich2024_fig5_brain_cat_vs_mod_cKK_E12,T0051_kuzminich2024_fig5_brain_cat_vs_mod_cKK_E12,35.0,16.0,46.5,2.5,DDAB_cholesterol,10,default_KK_like_35_16_46.5_2.5_imputed; approximated_from_np_ratio; original_lipid_molar_ratio=blank
